80,80,133,133,133,133,133,133,130,130,130,130,133,133,133,133,133,133,130,133,133,133,130,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,80,80,80
133,133,130,130,130,130,130,130,133,133,133,133,130,130,130,130,130,130,133,130,130,130,133,130,130,130,130,130,130,130,130,130,130,130,130,130,130,80,80,80,133,133,133
130,130,90,90,90,125,125,125,125,125,125,125,125,125,125,71,71,71,71,71,71,71,71,71,71,71,71,71,71,139,139,139,80,80,80,80,80,130,130,130,130,130,130
71,71,71,71,71,90,90,71,90,90,90,90,71,71,71,125,125,90,90,125,125,139,139,139,139,139,139,139,139,71,71,71,139,139,139,139,139,139,139,139,139,139,71
139,139,121,121,121,71,71,90,71,71,71,71,90,90,90,90,90,125,125,90,90,125,90,125,125,23,23,23,90,90,23,23,71,71,71,71,71,71,71,71,71,71,139
23,23,125,125,125,121,121,121,121,121,121,139,139,139,139,139,139,139,139,139,139,90,125,90,90,90,90,90,23,23,80,80,125,125,125,125,125,125,125,23,23,23,23
125,125,21,21,21,21,21,21,21,21,21,121,121,121,121,121,121,121,23,23,23,121,121,121,121,125,125,125,125,125,125,125,90,90,121,121,121,121,121,125,125,125,125
121,121,62,62,3,62,62,62,62,23,139,23,23,23,23,23,23,23,121,121,121,23,23,23,23,129,121,121,121,121,90,90,121,121,90,90,23,23,23,121,121,121,121
5,5,3,3,62,139,139,139,23,139,23,21,129,129,129,129,129,129,129,21,21,21,21,21,21,121,129,129,129,129,121,121,23,23,23,23,90,90,129,129,5,5,5
129,129,24,24,139,24,24,24,139,62,62,95,21,21,21,21,21,21,21,129,129,129,129,129,129,80,80,80,80,80,21,21,129,129,129,129,129,129,90,90,129,129,129
81,81,139,23,24,23,23,23,24,105,3,62,95,95,95,24,24,24,24,24,24,132,132,132,132,21,21,21,21,21,129,129,21,21,21,21,21,5,5,5,81,81,81
16,16,80,139,23,105,105,105,105,3,95,80,24,24,24,80,80,80,105,132,132,24,24,24,24,132,132,132,132,132,24,24,5,5,5,5,5,21,21,21,16,16,16
29,29,105,105,105,80,80,3,3,80,80,91,80,80,80,105,105,105,72,105,72,105,105,105,105,24,24,24,24,24,132,132,29,29,29,29,29,16,16,16,29,29,29
92,92,23,80,80,123,123,80,80,24,24,105,105,105,105,95,72,72,62,72,62,62,62,72,72,62,29,62,29,29,29,29,132,132,132,132,92,29,92,29,92,92,92
49,49,126,126,126,3,3,123,123,95,91,72,132,132,132,72,62,62,132,62,105,29,29,62,62,29,62,29,72,49,49,49,49,49,49,49,49,92,29,92,49,49,49
